name,url,pubs
"A., Claudia",/f/pma1285.html,28
"Albers, Soenke",/f/pal311.html,41
"Antolin-Diaz, Juan",/f/pan475.html,12
"A., Oscar Andres",/e/pes120.html,15
"Albers, Thilo N. H.",/f/pal943.html,4
"Anton, James J.",/e/pan128.html,32
"A., Sandra",/f/pro1068.html,20
"Albert, Aaron",/f/pal825.html,1
"Anton, Jose",/f/pan218.html,44
"Aaberge, Rolf",/e/paa6.html,168
"Albert, Cecilia",/e/pve132.html,19
"Anton, Roman",/f/pan507.html,4
"Aadland, David",/e/paa2.html,69
"Albert, Christoph",/f/pal957.html,8
"Anton, Sorin Gabriel",/f/pan307.html,17
"Aakvik, Arild",/e/paa1.html,43
"Albert, Marie",/f/pal776.html,2
"Antonakakis, Nikolaos",/f/pan244.html,116
"Aalbers, Rob",/e/paa8.html,15
"Albert, Max",/e/pal175.html,39
"Antoncic, Bostjan",/e/pan99.html,20
"Aanderud, Philip",/e/paa25.html,1
"Albert, Sandra",/f/pal798.html,1
"Antonczyk, Dirk",/f/pan289.html,10
"Aaron, Henry J.",/e/paa9.html,52
"Albertazzi, Ugo",/f/pal705.html,27
"Antonelli, Cristiano",/e/pan130.html,282
"Aaronson, Daniel",/e/paa13.html,78
"Alberti, Federica",/f/pal933.html,14
"Antonescu, Daniela",/f/pan234.html,74
"Aaronson, Susan Ariel",/e/paa12.html,49
"Albertin, Giorgia",/f/pal272.html,4
"Antonescu, Mihail",/f/pan213.html,24
"Aarts, Paul",/e/paa27.html,1
"Albertini, Julien",/f/pal374.html,30
"Antonescu, Raluca Mirela",/f/pan438.html,1
"Aas, Eline",/e/paa10.html,5
"Albertson, Kevin Victor",/e/pal194.html,6
"Antoni, Manfred",/f/pan201.html,22
"Aase, Knut Kristian",/e/paa23.html,55
"Albinowski, Maciej",/f/pal855.html,7
"Antoniades, Adonis",/f/pan413.html,3
"Aassve, Arnstein",/e/paa11.html,61
"Albis, Manuel Leonard Friginal",/f/pal468.html,5
"Antoniades, Andreas",/f/pan306.html,5
"Aastveit, Knut Are",/e/paa22.html,35
"Albisu, Luis Miguel",/f/pal307.html,34
"Antoniadou, Elena",/f/pan276.html,7
"Aatola, Piia",/e/paa21.html,6
"Alboghdady, Mohamed Altabei",/e/pbo85.html,2
"Antonides, Gerrit",/f/pan499.html,34
"Abad, Cristina",/f/pab280.html,3
"Alboiu, Cornelia",/f/pal559.html,7
"Antonietti, Roberto",/e/pan123.html,59
"Abad, Jorge",/f/pab367.html,6
"Albonico, Alice",/f/pal446.html,21
"Antonin, Celine",/f/pan448.html,67
"Abad, Nicolas",/f/pab308.html,8
"Albornoz, Facundo",/e/pal164.html,72
"Antonioli, Davide",/f/pan296.html,47
"Abad, Pilar",/e/pab62.html,28
"Albornoz, Vicente",/f/pal289.html,2
"Antonioni, Alberto",/f/pan430.html,1
"Abada, Ibrahim",/f/pab202.html,17
"Albouy, David Yves",/e/pal128.html,36
"Antoniou, Fabio",/e/pan173.html,23
"Abad-González, Julio",/f/pab402.html,5
"Albouy, Michel",/e/pal134.html,55
"Antonopoulos, Christos",/f/pan230.html,2
"Abadia Alvarado, Luz Karime",/e/pab151.html,6
"Albrecht, Brian C.",/f/pal847.html,1
"Antonopoulos, Rania",/e/pan172.html,12
"Abadie, Alberto",/e/pab7.html,58
"Albrecht, James",/e/pal153.html,110
"Antonova, Albena",/f/pan525.html,3
"Abahana, Zelalem Godaye",/e/pab164.html,1
"Albrecht, Johan",/f/pal697.html,20
"Antonovics, Kate L.",/e/pan97.html,17
"Abakumova, Yulia",/e/pab177.html,1
"Albright, Alex",/f/pal919.html,1
"Anton-Sarabia, Arturo",/e/pan169.html,23
"Abalkina, Anna",/f/pab235.html,6
"Albrizio, Silvia",/f/pal912.html,8
"Antony, Juergen",/f/pan279.html,31
"Abalos Choque, Melisa",/f/pme514.html,1
"Albu, Cristina Elena",/f/pal766.html,4
